Ponto	Drenagem	Ab_BL	Ab_Body_elong	Ab_Eye_ver	Ab_Rel_eye	Ab_O_gape	Ab_Body_lat	Ab_pect	Ab_Pect_size	Ab_Caud_ped	Ab_Area.caud	Ab_Area_pec	Ab_rel_algivoro	Ab_rel_detritivoro	Ab_rel_invertivoro	Ab_rel_onivoro	Ab_rel_piscivoro	Riq_algivoro	Riq_detritivoro	Riq_invertivoro	Riq_onivoro	Riq_piscivoro	Riq_rel_detritivoro	Riq_rel_invertivoro	Riq_rel_onivoro	Riq_rel_piscivoro	Riq_total_especies	Riq_Characiformes	Riq_rel_Characiformes	Riq_Siluriformes	Riq_rel_Siluriformes	Riq_Siluri_Characi	Riq_rel_Siluri_Characi	Riq_Cyprinidontiformes	Riq_rel_Cyprinidontiformes	Riq_Gymnotiformes	Riq_rel_Gymnotiformes	Riq_Cicliformes	Riq_rel_Cicliformes	Riq_Poecilia_reticulata	Riq_rel_Poecilia_reticulata	 Riq_Callichthyidae	 Riq_rel_Callichthyidae	 Riq_Characidae	 Riq_rel_Characidae	 Riq_Curimatidae	 Riq_rel_Curimatidae	 Riq_Crenuchidae	 Riq_rel_Crenuchidae	 Riq_Erythrinidae	 Riq_rel_Erythrinidae	 Riq_rel_Gymnotidae	 Riq_Gymnotidae	 Riq_Heptapteridae	 Riq_rel_Heptapteridae	 Riq_Loricariidae	 Riq_rel_Loricariidae	 Riq_Poeciliidae	 Riq_rel_Poeciliidae	Ab_total_especies	Ab_rel_Characiformes	Ab_rel_Siluriformes	Ab_rel_Siluri_Characi	Ab_rel_Cyprinidontiformes	Ab_rel_Gymnotiformes	Ab_rel_Cicliformes	Ab_rel_Poecilia_reticulata	Ab_rel_Callichthyidae	Ab_rel_Characidae	Ab_rel_Curimatidae	Ab_rel_Crenuchidae	Ab_rel_Erythrinidae	Ab_rel_Gymnotidae	Ab_rel_Heptapteridae	Ab_rel_Loricariidae	Ab_rel_Poeciliidae
87	3	79.16	3.54	0.31	0.38	0.25	0.49	0.13	0.56	2.14	2.69	0.67	0.00	0.00	0.85	0.10	0.05	0.00	0.00	3.00	1.00	1.00	0.00	0.17	0.06	0.06	5.00	2.00	0.40	1.00	0.20	3.00	0.60	0.00	0.00	1.00	0.20	1.00	0.20	0.00	0.00	1.00	0.20	1.00	0.20	0.00	0.00	0.00	0.00	1.00	0.20	1.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	21.00	0.67	0.10	0.76	0.00	0.19	0.05	0.00	0.10	0.62	0.00	0.00	0.05	0.19	0.00	0.00	0.00
88	3	63.95	3.12	0.34	0.39	0.17	0.53	0.12	0.71	2.27	3.05	0.88	0.02	0.15	0.57	0.18	0.00	1.00	2.00	6.00	3.00	0.00	0.10	0.29	0.14	0.00	13.00	6.00	0.46	4.00	0.31	10.00	0.77	1.00	0.08	1.00	0.08	1.00	0.08	0.00	0.00	2.00	0.15	4.00	0.31	0.00	0.00	1.00	0.08	0.00	0.00	1.00	0.08	1.00	0.08	1.00	0.08	1.00	0.08	172.00	0.56	0.23	0.80	0.12	0.03	0.05	0.00	0.17	0.48	0.00	0.01	0.00	0.03	0.02	0.01	0.12
89	3	42.18	3.58	0.32	0.52	0.31	0.58	0.25	0.94	1.53	3.14	1.06	0.00	0.89	0.05	0.06	0.00	0.00	2.00	4.00	2.00	0.00	0.11	0.21	0.11	0.00	13.00	3.00	0.23	5.00	0.38	8.00	0.62	1.00	0.08	1.00	0.08	2.00	0.15	1.00	0.08	3.00	0.23	2.00	0.15	0.00	0.00	1.00	0.08	0.00	0.00	1.00	0.08	1.00	0.08	1.00	0.08	1.00	0.08	411.00	0.02	0.07	0.09	0.85	0.01	0.05	0.85	0.04	0.01	0.00	0.01	0.00	0.01	0.02	0.00	0.85
90	3	68.53	3.79	0.40	0.25	0.13	0.56	0.07	0.75	1.74	2.68	1.03	0.00	0.02	0.68	0.25	0.05	0.00	1.00	5.00	4.00	1.00	0.05	0.26	0.21	0.05	11.00	4.00	0.36	4.00	0.36	8.00	0.73	0.00	0.00	1.00	0.09	2.00	0.18	0.00	0.00	3.00	0.27	3.00	0.27	0.00	0.00	0.00	0.00	1.00	0.09	1.00	0.09	0.00	0.00	1.00	0.09	0.00	0.00	43.00	0.28	0.56	0.84	0.00	0.12	0.05	0.00	0.53	0.23	0.00	0.00	0.05	0.12	0.00	0.02	0.00
91	3	43.63	3.45	0.32	0.48	0.25	0.57	0.21	0.87	1.70	2.89	0.79	0.00	0.72	0.18	0.10	0.00	0.00	3.00	3.00	2.00	0.00	0.13	0.13	0.08	0.00	8.00	3.00	0.38	3.00	0.38	6.00	0.75	2.00	0.25	0.00	0.00	0.00	0.00	1.00	0.13	2.00	0.25	2.00	0.25	1.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.13	0.00	0.00	2.00	0.25	110.00	0.17	0.15	0.32	0.68	0.00	0.00	0.56	0.13	0.14	0.04	0.00	0.00	0.00	0.02	0.00	0.68
92	3	66.54	3.50	0.42	0.35	0.19	0.62	0.19	0.76	2.15	3.27	1.50	0.00	0.23	0.25	0.49	0.01	0.00	4.00	5.00	5.00	1.00	0.19	0.24	0.24	0.05	16.00	6.00	0.38	6.00	0.38	12.00	0.75	2.00	0.13	1.00	0.06	1.00	0.06	1.00	0.06	3.00	0.19	4.00	0.25	1.00	0.06	0.00	0.00	1.00	0.06	1.00	0.06	1.00	0.06	2.00	0.13	2.00	0.13	145.00	0.35	0.21	0.57	0.19	0.03	0.21	0.01	0.16	0.34	0.01	0.00	0.01	0.03	0.01	0.01	0.19
93	3	80.06	4.10	0.43	0.28	0.05	0.57	0.11	0.88	1.98	3.17	1.14	0.00	0.00	0.87	0.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.27	0.00	0.00	5.00	2.00	0.40	3.00	0.60	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.20	1.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.40	0.00	0.00	0.00	0.00	8.00	0.25	0.75	1.00	0.00	0.00	0.00	0.00	0.25	0.13	0.00	0.00	0.00	0.00	0.50	0.00	0.00
94	3	67.55	2.95	0.39	0.38	0.24	0.59	0.21	0.76	1.98	3.83	1.91	0.00	0.29	0.25	0.46	0.00	0.00	2.00	4.00	4.00	0.00	0.10	0.20	0.20	0.00	10.00	4.00	0.40	3.00	0.30	7.00	0.70	1.00	0.10	1.00	0.10	1.00	0.10	1.00	0.10	2.00	0.20	4.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.10	0.00	0.00	1.00	0.10	1.00	0.10	149.00	0.23	0.13	0.36	0.28	0.03	0.33	0.28	0.12	0.23	0.00	0.00	0.00	0.03	0.00	0.01	0.28
95	3	44.08	3.42	0.30	0.51	0.30	0.56	0.22	0.87	1.77	3.02	0.86	0.00	0.75	0.21	0.04	0.00	0.00	3.00	4.00	3.00	0.00	0.16	0.21	0.16	0.00	14.00	6.00	0.43	5.00	0.36	11.00	0.79	1.00	0.07	1.00	0.07	1.00	0.07	1.00	0.07	3.00	0.21	4.00	0.29	1.00	0.07	0.00	0.00	1.00	0.07	1.00	0.07	1.00	0.07	1.00	0.07	1.00	0.07	522.00	0.19	0.06	0.24	0.72	0.02	0.01	0.72	0.04	0.18	0.01	0.00	0.00	0.02	0.01	0.00	0.72
97	6	52.37	3.20	0.33	0.44	0.18	0.52	0.09	0.66	2.37	2.42	0.73	0.00	0.03	0.61	0.35	0.01	0.00	2.00	2.00	4.00	1.00	0.09	0.09	0.17	0.04	10.00	4.00	0.40	4.00	0.40	8.00	0.80	1.00	0.10	0.00	0.00	1.00	0.10	0.00	0.00	1.00	0.10	4.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.10	1.00	0.10	1.00	0.10	357.00	0.79	0.16	0.96	0.02	0.00	0.03	0.00	0.05	0.79	0.00	0.00	0.00	0.00	0.00	0.00	0.02
98	6	71.26	5.30	0.51	0.32	0.09	0.72	0.08	1.16	2.47	2.44	1.00	0.00	0.14	0.08	0.29	0.02	0.00	2.00	3.00	5.00	2.00	0.09	0.13	0.22	0.09	16.00	5.00	0.31	7.00	0.44	12.00	0.75	1.00	0.06	1.00	0.06	2.00	0.13	0.00	0.00	0.00	0.00	4.00	0.25	0.00	0.00	0.00	0.00	1.00	0.06	0.00	0.00	4.00	0.25	3.00	0.19	1.00	0.06	301.00	0.23	0.65	0.89	0.04	0.05	0.02	0.00	0.00	0.22	0.00	0.00	0.01	0.00	0.08	0.01	0.04
99	6	64.21	4.51	0.46	0.32	0.08	0.62	0.12	0.92	2.22	2.34	0.68	0.00	0.01	0.56	0.19	0.00	0.00	1.00	6.00	1.00	0.00	0.07	0.40	0.07	0.00	9.00	2.00	0.22	5.00	0.56	7.00	0.78	0.00	0.00	2.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.22	2.00	0.22	2.00	0.22	0.00	0.00	93.00	0.30	0.68	0.98	0.00	0.02	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.02	0.42	0.02	0.00
100	6	85.42	3.69	0.41	0.33	0.16	0.59	0.10	0.73	2.45	3.74	1.40	0.00	0.28	0.61	0.11	0.00	0.00	1.00	4.00	1.00	0.00	0.08	0.31	0.08	0.00	6.00	2.00	0.33	2.00	0.33	4.00	0.67	0.00	0.00	1.00	0.17	1.00	0.17	0.00	0.00	0.00	0.00	2.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.17	1.00	0.17	1.00	0.17	0.00	0.00	18.00	0.44	0.33	0.78	0.00	0.11	0.11	0.00	0.00	0.44	0.00	0.00	0.00	0.11	0.06	0.06	0.00
101	6	66.64	2.67	0.35	0.44	0.22	0.55	0.16	0.64	2.36	3.54	1.46	0.00	0.10	0.26	0.63	0.01	0.00	1.00	3.00	2.00	1.00	0.07	0.20	0.13	0.07	10.00	6.00	0.60	2.00	0.20	8.00	0.80	1.00	0.10	0.00	0.00	1.00	0.10	0.00	0.00	0.00	0.00	5.00	0.50	0.00	0.00	0.00	0.00	1.00	0.10	0.00	0.00	1.00	0.10	1.00	0.10	1.00	0.10	933.00	0.62	0.01	0.63	0.10	0.00	0.27	0.00	0.00	0.62	0.00	0.00	0.00	0.00	0.00	0.00	0.10
103	6	95.87	5.22	0.48	0.32	0.12	0.61	0.16	0.98	2.42	3.06	1.26	0.00	0.04	0.43	0.53	0.00	0.00	1.00	6.00	1.00	0.00	0.05	0.27	0.05	0.00	13.00	6.00	0.46	7.00	0.54	13.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.38	0.00	0.00	1.00	0.08	0.00	0.00	0.00	0.00	5.00	0.38	2.00	0.15	0.00	0.00	301.00	0.14	0.86	1.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.01	0.00	0.00	0.81	0.01	0.00
104	6	72.41	3.62	0.44	0.26	0.15	0.59	0.17	0.72	2.17	3.13	1.05	0.00	0.06	0.46	0.47	0.01	0.00	1.00	8.00	4.00	1.00	0.05	0.38	0.19	0.05	15.00	4.00	0.27	7.00	0.47	11.00	0.73	0.00	0.00	2.00	0.13	2.00	0.13	0.00	0.00	1.00	0.07	3.00	0.20	0.00	0.00	0.00	0.00	1.00	0.07	2.00	0.13	5.00	0.33	1.00	0.07	0.00	0.00	246.00	0.15	0.79	0.95	0.00	0.02	0.03	0.00	0.40	0.15	0.00	0.00	0.01	0.02	0.33	0.00	0.00
105	6	69.00	2.74	0.33	0.41	0.18	0.52	0.09	0.63	2.74	3.51	0.76	0.03	0.08	0.82	0.07	0.00	1.00	1.00	4.00	1.00	0.00	0.07	0.29	0.07	0.00	11.00	5.00	0.45	4.00	0.36	9.00	0.82	1.00	0.09	0.00	0.00	1.00	0.09	1.00	0.09	1.00	0.09	3.00	0.27	0.00	0.00	1.00	0.09	1.00	0.09	0.00	0.00	2.00	0.18	1.00	0.09	1.00	0.09	363.00	0.73	0.27	0.99	0.00	0.00	0.00	0.00	0.07	0.72	0.00	0.01	0.00	0.00	0.11	0.00	0.00
106	6	65.40	4.46	0.41	0.41	0.22	0.66	0.11	0.78	2.54	2.19	0.78	0.00	0.07	0.70	0.23	0.00	0.00	2.00	4.00	1.00	0.00	0.17	0.33	0.08	0.00	7.00	3.00	0.43	3.00	0.43	6.00	0.86	0.00	0.00	1.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.29	0.00	0.00	1.00	0.14	0.00	0.00	1.00	0.14	1.00	0.14	2.00	0.29	0.00	0.00	60.00	0.80	0.12	0.92	0.00	0.08	0.00	0.00	0.00	0.72	0.00	0.08	0.00	0.08	0.05	0.03	0.00
107	6	71.04	4.81	0.49	0.16	0.17	0.65	0.16	0.87	1.95	2.74	1.05	0.00	0.30	0.56	0.11	0.03	0.00	1.00	2.00	1.00	1.00	0.13	0.25	0.13	0.13	5.00	0.00	0.00	3.00	0.60	3.00	0.60	0.00	0.00	1.00	0.20	0.00	0.00	0.00	0.00	1.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.20	0.00	0.00	1.00	0.20	0.00	0.00	37.00	0.00	0.89	0.89	0.00	0.08	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.08	0.00	0.03	0.00
108	6	57.98	2.68	0.29	0.47	0.20	0.51	0.11	0.64	2.62	3.12	0.58	0.00	0.23	0.77	0.00	0.00	0.00	2.00	1.00	0.00	0.00	0.08	0.04	0.00	0.00	5.00	2.00	0.40	2.00	0.40	4.00	0.80	1.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.20	1.00	0.20	0.00	0.00	0.00	0.00	1.00	0.20	0.00	0.00	0.00	0.00	1.00	0.20	1.00	0.20	211.00	0.76	0.07	0.83	0.17	0.00	0.00	0.00	0.00	0.76	0.00	0.00	0.00	0.00	0.00	0.00	0.17
109	6	63.01	4.87	0.48	0.32	0.10	0.69	0.08	1.09	2.12	2.28	0.86	0.00	0.05	0.37	0.18	0.00	0.00	2.00	15.00	5.00	0.00	0.06	0.45	0.15	0.00	23.00	9.00	0.39	9.00	0.39	18.00	0.78	1.00	0.04	3.00	0.13	1.00	0.04	0.00	0.00	1.00	0.04	6.00	0.26	0.00	0.00	2.00	0.09	0.00	0.00	2.00	0.09	6.00	0.26	2.00	0.09	1.00	0.04	200.00	0.32	0.63	0.95	0.01	0.03	0.02	0.00	0.04	0.27	0.00	0.05	0.00	0.02	0.12	0.01	0.01
110	6	92.15	4.81	0.52	0.31	0.10	0.73	0.06	1.11	2.47	4.08	1.73	0.00	0.29	0.42	0.00	0.00	0.00	2.00	6.00	0.00	0.00	0.11	0.33	0.00	0.00	10.00	2.00	0.20	6.00	0.60	8.00	0.80	0.00	0.00	1.00	0.10	1.00	0.10	0.00	0.00	0.00	0.00	1.00	0.10	0.00	0.00	1.00	0.10	0.00	0.00	0.00	0.00	2.00	0.20	4.00	0.40	0.00	0.00	106.00	0.28	0.65	0.93	0.00	0.04	0.03	0.00	0.00	0.27	0.00	0.01	0.00	0.00	0.07	0.04	0.00
111	6	87.77	3.32	0.34	0.37	0.26	0.51	0.11	0.61	1.99	3.29	0.96	0.00	0.02	0.93	0.05	0.00	0.00	1.00	5.00	2.00	0.00	0.05	0.25	0.10	0.00	8.00	1.00	0.13	3.00	0.38	4.00	0.50	1.00	0.13	2.00	0.25	1.00	0.13	0.00	0.00	2.00	0.25	1.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.25	1.00	0.13	0.00	0.00	1.00	0.13	112.00	0.69	0.26	0.95	0.02	0.03	0.01	0.00	0.04	0.69	0.00	0.00	0.00	0.03	0.21	0.00	0.02
112	6	64.10	5.08	0.50	0.32	0.09	0.73	0.05	1.15	2.25	2.35	0.93	0.00	0.15	0.42	0.01	0.00	0.00	1.00	8.00	1.00	0.00	0.04	0.29	0.04	0.00	12.00	3.00	0.25	7.00	0.58	10.00	0.83	0.00	0.00	2.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.08	3.00	0.25	3.00	0.25	0.00	0.00	97.00	0.29	0.67	0.96	0.00	0.04	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.01	0.09	0.03	0.00
113	3	67.86	4.19	0.40	0.42	0.19	0.60	0.15	0.88	2.40	2.89	1.05	0.00	0.27	0.24	0.47	0.00	0.00	2.00	8.00	5.00	0.00	0.06	0.23	0.14	0.00	16.00	7.00	0.44	6.00	0.38	13.00	0.81	1.00	0.06	2.00	0.13	0.00	0.00	1.00	0.06	0.00	0.00	4.00	0.25	0.00	0.00	2.00	0.13	0.00	0.00	1.00	0.06	4.00	0.25	2.00	0.13	1.00	0.06	97.00	0.52	0.24	0.75	0.23	0.02	0.00	0.23	0.00	0.32	0.00	0.11	0.00	0.01	0.19	0.02	0.23
114	3	66.76	4.69	0.48	0.33	0.15	0.70	0.14	0.91	2.23	2.42	1.10	0.00	0.14	0.30	0.26	0.00	0.00	2.00	8.00	5.00	0.00	0.08	0.31	0.19	0.00	19.00	6.00	0.32	7.00	0.37	13.00	0.68	1.00	0.05	1.00	0.05	4.00	0.21	1.00	0.05	2.00	0.11	4.00	0.21	0.00	0.00	1.00	0.05	0.00	0.00	1.00	0.05	1.00	0.05	4.00	0.21	1.00	0.05	168.00	0.40	0.42	0.82	0.01	0.10	0.08	0.01	0.01	0.37	0.00	0.01	0.00	0.10	0.01	0.02	0.01
115	3	53.46	2.94	0.36	0.40	0.14	0.54	0.06	0.74	2.37	2.69	0.80	0.00	0.04	0.92	0.02	0.00	0.00	1.00	4.00	1.00	0.00	0.08	0.31	0.08	0.00	8.00	5.00	0.63	2.00	0.25	7.00	0.88	0.00	0.00	0.00	0.00	1.00	0.13	0.00	0.00	1.00	0.13	3.00	0.38	0.00	0.00	1.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.13	0.00	0.00	226.00	0.79	0.19	0.98	0.00	0.00	0.02	0.00	0.16	0.61	0.00	0.16	0.00	0.00	0.00	0.00	0.00
116	3	63.57	3.19	0.41	0.34	0.10	0.59	0.04	0.82	2.51	3.29	1.07	0.00	0.21	0.79	0.00	0.00	0.00	1.00	5.00	0.00	0.00	0.07	0.33	0.00	0.00	6.00	3.00	0.50	3.00	0.50	6.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.17	2.00	0.33	0.00	0.00	1.00	0.17	0.00	0.00	0.00	0.00	1.00	0.17	1.00	0.17	0.00	0.00	71.00	0.56	0.44	1.00	0.00	0.00	0.00	0.00	0.21	0.45	0.00	0.11	0.00	0.00	0.01	0.01	0.00
117	3	58.37	3.19	0.42	0.33	0.09	0.62	0.04	0.90	2.35	3.00	1.21	0.00	0.11	0.62	0.02	0.02	0.00	1.00	4.00	1.00	1.00	0.05	0.19	0.05	0.05	13.00	7.00	0.54	4.00	0.31	11.00	0.85	0.00	0.00	0.00	0.00	1.00	0.08	0.00	0.00	1.00	0.08	3.00	0.23	0.00	0.00	1.00	0.08	1.00	0.08	0.00	0.00	1.00	0.08	2.00	0.15	0.00	0.00	202.00	0.46	0.50	0.96	0.00	0.00	0.02	0.00	0.23	0.37	0.00	0.01	0.00	0.00	0.00	0.01	0.00
118	3	72.47	2.55	0.36	0.41	0.23	0.56	0.18	0.67	2.24	3.73	1.56	0.04	0.03	0.47	0.44	0.03	1.00	1.00	4.00	4.00	2.00	0.06	0.24	0.24	0.12	12.00	6.00	0.50	3.00	0.25	9.00	0.75	0.00	0.00	0.00	0.00	2.00	0.17	0.00	0.00	1.00	0.08	5.00	0.42	0.00	0.00	0.00	0.00	1.00	0.08	0.00	0.00	1.00	0.08	1.00	0.08	0.00	0.00	167.00	0.52	0.07	0.59	0.00	0.00	0.40	0.00	0.01	0.50	0.00	0.00	0.02	0.00	0.04	0.01	0.00
119	3	86.07	4.03	0.44	0.33	0.12	0.63	0.05	0.84	2.50	3.87	1.36	0.00	0.41	0.59	0.00	0.00	0.00	1.00	4.00	0.00	0.00	0.06	0.25	0.00	0.00	5.00	2.00	0.40	2.00	0.40	4.00	0.80	0.00	0.00	1.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.20	0.00	0.00	1.00	0.20	0.00	0.00	1.00	0.20	1.00	0.20	1.00	0.20	0.00	0.00	27.00	0.48	0.44	0.93	0.00	0.07	0.00	0.00	0.00	0.37	0.00	0.11	0.00	0.07	0.04	0.04	0.00
120	3	47.10	3.42	0.29	0.46	0.18	0.56	0.09	0.69	2.59	2.17	0.52	0.72	0.00	0.22	0.05	0.01	1.00	0.00	6.00	3.00	1.00	0.00	0.43	0.21	0.07	11.00	6.00	0.55	1.00	0.09	7.00	0.64	0.00	0.00	2.00	0.18	2.00	0.18	0.00	0.00	0.00	0.00	4.00	0.36	0.00	0.00	1.00	0.09	1.00	0.09	1.00	0.09	1.00	0.09	0.00	0.00	0.00	0.00	144.00	0.94	0.01	0.96	0.00	0.01	0.03	0.00	0.00	0.93	0.00	0.01	0.01	0.01	0.01	0.00	0.00
121	3	88.86	2.36	0.45	0.32	0.23	0.62	0.25	0.68	2.01	4.98	3.26	0.00	0.00	0.24	0.76	0.00	0.00	0.00	2.00	1.00	0.00	0.00	0.14	0.07	0.00	3.00	2.00	0.67	0.00	0.00	2.00	0.67	0.00	0.00	0.00	0.00	1.00	0.33	0.00	0.00	0.00	0.00	1.00	0.33	0.00	0.00	1.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	91.00	0.24	0.00	0.24	0.00	0.00	0.76	0.00	0.00	0.23	0.00	0.01	0.00	0.00	0.00	0.00	0.00
122	3	43.11	3.19	0.33	0.52	0.21	0.56	0.09	0.70	2.93	2.14	0.54	0.27	0.01	0.66	0.05	0.01	2.00	1.00	6.00	1.00	1.00	0.04	0.23	0.04	0.04	14.00	11.00	0.79	2.00	0.14	13.00	0.93	0.00	0.00	1.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	6.00	0.43	0.00	0.00	1.00	0.07	2.00	0.14	0.00	0.00	1.00	0.07	1.00	0.07	0.00	0.00	553.00	0.97	0.02	0.99	0.00	0.01	0.00	0.00	0.00	0.83	0.00	0.13	0.01	0.00	0.01	0.00	0.00
123	3	67.07	3.06	0.34	0.43	0.18	0.54	0.09	0.69	2.70	3.33	0.89	0.04	0.05	0.65	0.25	0.01	1.00	1.00	5.00	7.00	1.00	0.04	0.20	0.28	0.04	15.00	7.00	0.47	5.00	0.33	12.00	0.80	1.00	0.07	1.00	0.07	1.00	0.07	0.00	0.00	2.00	0.13	2.00	0.13	0.00	0.00	1.00	0.07	1.00	0.07	1.00	0.07	1.00	0.07	1.00	0.07	0.00	0.00	123.00	0.80	0.16	0.97	0.01	0.01	0.02	0.00	0.04	0.67	0.00	0.07	0.01	0.01	0.02	0.01	0.00
124	3	74.05	3.10	0.36	0.45	0.23	0.56	0.08	0.65	2.92	3.50	0.84	0.00	0.07	0.05	0.88	0.00	0.00	2.00	3.00	5.00	0.00	0.13	0.19	0.31	0.00	13.00	7.00	0.54	4.00	0.31	11.00	0.85	0.00	0.00	1.00	0.08	1.00	0.08	0.00	0.00	1.00	0.08	5.00	0.38	1.00	0.08	1.00	0.08	0.00	0.00	1.00	0.08	1.00	0.08	2.00	0.15	0.00	0.00	208.00	0.93	0.03	0.96	0.00	0.01	0.03	0.00	0.01	0.84	0.06	0.03	0.00	0.01	0.00	0.01	0.00
125	3	63.41	4.03	0.40	0.39	0.23	0.58	0.12	0.68	1.98	2.29	0.51	0.00	0.08	0.90	0.02	0.00	0.00	1.00	4.00	1.00	0.00	0.09	0.36	0.09	0.00	6.00	3.00	0.50	2.00	0.33	5.00	0.83	1.00	0.17	0.00	0.00	0.00	0.00	1.00	0.17	0.00	0.00	2.00	0.33	0.00	0.00	1.00	0.17	0.00	0.00	0.00	0.00	1.00	0.17	0.00	0.00	1.00	0.17	122.00	0.63	0.29	0.92	0.08	0.00	0.00	0.08	0.00	0.59	0.00	0.04	0.00	0.00	0.02	0.00	0.08
128	3	101.63	3.41	0.48	0.30	0.15	0.67	0.09	0.85	2.87	5.35	2.30	0.00	0.42	0.00	0.53	0.05	0.00	1.00	0.00	3.00	1.00	0.03	0.00	0.10	0.03	5.00	3.00	0.60	1.00	0.20	4.00	0.80	0.00	0.00	0.00	0.00	1.00	0.20	0.00	0.00	0.00	0.00	2.00	0.40	0.00	0.00	0.00	0.00	1.00	0.20	0.00	0.00	0.00	0.00	1.00	0.20	0.00	0.00	19.00	0.37	0.42	0.79	0.00	0.00	0.21	0.00	0.00	0.32	0.00	0.00	0.05	0.00	0.00	0.05	0.00
129	3	71.78	3.26	0.35	0.41	0.20	0.53	0.13	0.67	2.40	2.95	1.01	0.02	0.07	0.69	0.19	0.02	2.00	3.00	10.00	6.00	2.00	0.08	0.27	0.16	0.05	25.00	13.00	0.52	5.00	0.20	18.00	0.72	1.00	0.04	2.00	0.08	4.00	0.16	0.00	0.00	0.00	0.00	7.00	0.28	1.00	0.04	1.00	0.04	1.00	0.04	2.00	0.08	3.00	0.12	2.00	0.08	1.00	0.04	155.00	0.66	0.15	0.81	0.01	0.07	0.12	0.00	0.00	0.59	0.01	0.02	0.01	0.07	0.09	0.01	0.01
130	5	68.16	3.22	0.37	0.38	0.18	0.56	0.13	0.71	2.44	3.45	0.89	0.03	0.21	0.54	0.21	0.00	1.00	3.00	5.00	3.00	0.00	0.12	0.20	0.12	0.00	15.00	8.00	0.53	4.00	0.27	12.00	0.80	2.00	0.13	0.00	0.00	0.00	0.00	1.00	0.07	1.00	0.07	6.00	0.40	0.00	0.00	1.00	0.07	1.00	0.07	0.00	0.00	2.00	0.13	1.00	0.07	2.00	0.13	593.00	0.46	0.40	0.86	0.14	0.00	0.00	0.10	0.13	0.45	0.00	0.00	0.00	0.00	0.19	0.00	0.14
131	5	54.84	4.20	0.46	0.34	0.12	0.65	0.14	0.86	2.23	2.28	0.67	0.00	0.01	0.36	0.37	0.01	0.00	1.00	5.00	5.00	1.00	0.05	0.24	0.24	0.05	20.00	10.00	0.50	5.00	0.25	15.00	0.75	1.00	0.05	2.00	0.10	1.00	0.05	0.00	0.00	1.00	0.05	7.00	0.35	1.00	0.05	1.00	0.05	0.00	0.00	1.00	0.05	3.00	0.15	1.00	0.05	1.00	0.05	1110.00	0.38	0.59	0.98	0.01	0.00	0.00	0.00	0.07	0.36	0.00	0.02	0.00	0.00	0.29	0.00	0.01
132	5	108.72	4.65	0.49	0.23	0.06	0.62	0.16	0.85	2.22	4.34	1.39	0.00	0.26	0.71	0.03	0.00	0.00	2.00	5.00	1.00	0.00	0.13	0.31	0.06	0.00	8.00	0.00	0.00	6.00	0.75	6.00	0.75	0.00	0.00	1.00	0.13	1.00	0.13	0.00	0.00	1.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.38	2.00	0.25	0.00	0.00	35.00	0.00	0.94	0.94	0.00	0.03	0.03	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.66	0.06	0.00
